step byteswritten deletes hits images imagesizes inserts merges pkgs realsize reqsize size upkgs usize
65 2733487933953 0 3 14 58753609172 14 49 13562 78242142181 31152759064 684139189032 4439 260750158945
66 2749479965384 0 3 15 58508512739 15 49 13814 15992031431 15992031431 700131220463 4439 260750158945
67 2769383680994 0 3 16 57088580942 16 49 14410 19903715610 19903715610 720034936073 4499 262601182559
68 2812973369429 0 3 16 57088580942 16 50 14777 43589688435 36674683939 743720908898 4571 267940645629
69 2842039341931 0 3 16 57088580942 16 51 15047 29065972502 23751468997 756794849969 4599 271921532111
70 2932343885128 0 3 16 57088580942 16 52 15206 90304543197 34968945212 765530083855 4631 274908618124
71 2991038838065 0 3 16 58601732838 16 53 15518 58694952937 32191289578 780635348357 4695 277609211946
72 3055285250269 0 3 16 58753609172 16 54 15731 64246412204 23988349511 786186807624 4750 278467518278
73 3099041603088 0 3 16 58753609172 16 55 15950 43756352819 29351864214 800877187941 4776 279962256078
74 3115347703949 0 3 17 58508512739 17 55 16209 16306100861 16306100861 817183288802 4783 280409457783
75 3178254980870 0 3 17 58998705606 17 56 16370 62907276921 24956016998 824421916578 4807 281637316640
76 3189257689202 0 3 18 58753609172 18 56 16640 11002708332 11002708332 835424624910 4811 281687938871
77 3211536348493 0 3 18 58753609172 18 57 16908 22278659291 16813140321 846700575869 4829 284606045249
78 3216033274463 0 3 19 58508512739 19 57 17038 4496925970 4496925970 851197501839 4832 284979522937
79 3256563376172 0 3 19 58508512739 19 58 17455 40530101709 31844361942 869448944257 4875 287408188292
80 3305805241520 0 3 19 58508512739 19 59 17518 49241865348 16401322934 874934456786 4884 287675769828
81 3371579198353 0 3 19 58998705606 19 60 17660 65773956833 42909045299 900178311910 4907 297812040122
82 3436539093312 0 3 19 61217973308 19 61 17838 64959894959 30854581437 906139501263 4939 298247026205
83 3436539093312 0 4 19 61217973308 19 61 17838 78242142181 31152759064 906139501263 4939 298247026205
84 3504033741482 0 4 19 62907276921 19 62 17912 67494648170 17954834720 912416176125 4957 300506212374
85 3579747003047 0 4 19 62907276921 19 63 18138 75713261565 35145909290 923883025486 5007 302911526758
86 3582066515195 0 4 20 60707894830 20 63 18187 2319512148 2319512148 926202537634 5009 303004040933
87 3596401274788 0 4 21 58508512739 21 63 18635 14334759593 14334759593 940537297227 5021 303490182097
88 3650798953969 0 4 21 58508512739 21 64 18780 54397679181 24144699808 945693111060 5038 304613561762
89 3673890557522 0 4 21 58508512739 21 65 18948 23091603553 16349827817 954449955020 5047 306478326778
90 3673890557522 0 5 21 58508512739 21 65 18948 90304543197 37345160441 954449955020 5047 306478326778
91 3673890557522 0 6 21 58508512739 21 65 18948 58508512739 36768731454 954449955020 5047 306478326778
92 3700711873986 0 6 21 58508512739 21 66 19046 26821316464 14090987725 958179667931 5065 307270032767
93 3700711873986 0 7 21 58508512739 21 66 19046 5352064217 3476157573 958179667931 5065 307270032767
94 3728599959185 0 7 21 58508512739 21 67 19267 27888085199 21584446408 969761652269 5082 308382300576
95 3806379086864 0 7 21 58508512739 21 68 19628 77779127679 29193887708 980046131778 5172 310411592344
96 3886907450366 0 7 21 58508512739 21 69 19904 80528363502 37462965370 994800538447 5210 314825635515
97 3887658314421 0 7 22 56453095960 22 69 19918 750864055 750864055 995551402502 5211 314826570499
98 3932414655500 0 7 22 56453095960 22 70 20113 44756341079 30848411027 1012419658382 5231 318247717691
99 4026955699133 0 7 22 56453095960 22 71 20287 94541043633 39374645902 1026432338513 5274 322183208492
100 4026955699133 0 8 22 56453095960 22 71 20287 78242142181 30121370432 1026432338513 5274 322183208492
101 4073826058935 0 8 22 56453095960 22 72 20357 46870359802 14110116311 1028546357236 5282 322751976529
102 4143739821952 0 8 22 60707894830 22 73 20565 69913763017 39559902562 1044062441072 5310 326471921158
103 4199341623077 0 8 22 60707894830 22 74 20808 55601801125 27387023362 1052793882395 5345 327164459176
104 4266889069121 0 8 22 63933585940 22 75 20988 67547446044 33914547859 1061832815700 5371 331306486323
105 4266911643540 0 8 23 62907276921 23 75 20989 22574419 22574419 1061855390119 5371 331306486323
106 4310484784933 0 8 23 62907276921 23 76 21223 43573141393 29722075277 1078607215048 5399 333420912252
107 4327666055675 0 8 24 59254539023 24 76 21519 17181270742 17181270742 1095788485790 5411 334268125550
108 4352639167440 0 8 24 59254539023 24 77 21656 24973111765 17077898543 1103580326813 5421 334408742254
109 4383484553482 0 8 25 55601801125 25 77 22026 30845386042 30845386042 1134425712855 5444 338404634172
110 4412911377121 0 8 25 55601801125 25 78 22125 29426823639 13242336680 1138879424729 5448 339335948733
111 4476106192674 0 8 25 62907276921 25 79 22336 63194815553 27997013449 1146472439157 5468 341309438401
112 4517249785219 0 8 25 62907276921 25 80 22520 41143592545 23667055347 1158189208063 5485 347936295721
113 4579940086200 0 8 25 62907276921 25 81 22772 62690300981 39136226210 1177306367651 5524 351123516832
114 4592397960608 0 8 26 62798788951 26 81 23143 12457874408 12457874408 1189764242059 5530 351347002340
115 4645153746990 0 8 26 62798788951 26 82 23304 52755786382 27446308203 1201376435896 5555 354601702946
116 4715684544344 0 8 26 63051046237 26 83 23398 70530797354 19920187084 1209216932269 5570 355927277855
117 4800068749077 0 8 26 63051046237 26 84 23634 84384204733 43690318700 1223687373985 5603 358020337179
118 4877873500237 0 8 26 63051046237 26 85 23825 77804751160 29002767818 1230961327791 5629 359809919866
119 4938704982948 0 8 26 63051046237 26 86 23925 60831482711 24222338660 1239037024120 5635 360021351564
120 4962112520656 0 8 26 63051046237 26 87 24097 23407537708 18210074099 1249986687420 5652 361013304417
121 5034713898348 0 8 26 64077355256 26 88 24374 72601377692 32465314186 1261756582401 5693 364036862237
122 5058366307402 0 8 27 63194815553 27 88 24689 23652409054 23652409054 1285408991455 5704 364347730033
123 5062898482342 0 8 28 63051046237 28 88 24728 4532174940 4532174940 1289941166395 5706 364410756448
124 5153250719940 0 8 28 63051046237 28 89 24917 90352237598 27667576467 1295909199260 5729 367227454762
125 5161867279690 0 8 29 62907276921 29 89 25148 8616559750 8616559750 1304525759010 5730 367228303667
126 5196302438355 0 8 29 62907276921 29 90 25392 34435158665 21044680116 1315553379967 5738 369492437337
127 5205606597176 0 8 30 48671217793 30 90 25565 9304158821 9304158821 1324857538788 5746 370006338631
128 5253642307125 0 8 30 55471493435 30 91 25851 48035709949 31895726320 1338458090072 5817 375293473050
129 5255774612030 0 8 31 48035709949 31 91 26037 2132304905 2132304905 1340590394977 5817 375293473050
130 5287790647048 0 8 31 48035709949 31 92 26164 32016035018 15470136655 1348954020941 5824 375652654556
131 5360719865963 0 8 31 48035709949 31 93 26402 72929218915 30240719453 1356923344897 5850 378167571730
132 5405482297424 0 8 31 48035709949 31 94 26711 44762431461 26550139734 1369669741340 5869 378873244824
133 5427828001464 0 8 31 48035709949 31 95 26914 22345704040 19095430385 1383398885630 5877 379366115165
134 5427828001464 0 9 31 48035709949 31 95 26914 90352237598 24144699808 1383398885630 5877 379366115165
135 5431199045146 0 9 31 48035709949 31 96 26980 3371043682 1759412333 1384637624407 5880 379629104462
136 5459703932142 0 9 31 48035709949 31 97 27125 28504886996 14090987725 1390796807363 5880 379629104462
137 5478687457999 0 9 32 46399070705 32 97 27488 18983525857 18983525857 1409780333220 5886 379939393134
138 5539109655180 2 9 30 54228953565 32 98 25692 60422197181 37707139043 1335020109149 5758 368825509900
139 5568287740928 2 9 30 54228953565 32 99 25822 29178085748 18730850905 1345214669040 5762 369301025839
140 5602198284425 2 9 30 54228953565 32 100 25895 33910543497 16320010959 1350620325541 5762 369301025839
141 5655227076878 2 9 30 56725494817 32 101 26071 53028792453 35870231900 1369738574497 5776 370055463020
142 5722181234156 2 9 30 61664737051 32 102 26391 66954157278 35001086391 1383663939322 5825 372093633896
143 5766717818982 2 9 30 61664737051 32 103 26608 44536584826 22061546788 1397355138106 5842 373793587555
144 5827086403695 2 9 30 61664737051 32 104 26775 60368584713 29201501237 1413187137993 5864 376425457546
145 5913679416507 4 9 28 61664737051 32 105 25102 86593012812 41572188123 1337395028164 5699 368559830930
146 6002869107446 4 9 28 61664737051 32 106 25266 89189690939 37226525877 1348805591424 5724 370539343417
147 6070050300046 4 9 28 63051046237 32 107 25446 67181192600 25565410255 1355618199311 5740 371042805610
148 6070050300046 4 10 28 63051046237 32 107 25446 86593012812 30854581437 1355618199311 5740 371042805610
149 6070050300046 4 11 28 63051046237 32 107 25446 90352237598 39559902562 1355618199311 5740 371042805610
