picks choicecount closurecount choicesize closuresize
196 195 1214 14494244442 60869626522
197 196 1215 14630862775 61064668672
198 197 1216 14631572468 61113622339
199 198 1223 14791299533 61223816880
200 199 1224 14883075691 61518853630
201 200 1229 14895044501 61795992541
202 201 1234 14952700277 62100954523
203 202 1239 14959931867 62319603964
204 203 1241 14975812221 62782188140
205 204 1249 15235152887 63316908621
206 205 1251 15283130473 63693881270
207 206 1254 15291774963 63708973044
208 207 1258 15454771220 63771030393
209 208 1260 15511317659 64061505015
210 209 1264 15576637314 64344672576
211 210 1269 15633421104 64653695415
212 211 1272 15853239081 64808809683
213 212 1278 15866353838 64929541561
214 213 1279 15916635225 65158680244
215 214 1285 16003277196 65387875879
216 215 1289 16028873984 65828095996
217 216 1299 16030477648 65828095996
218 217 1307 16121729567 66174804706
219 218 1312 16165782423 66367685587
220 219 1313 16224983188 66401034510
221 220 1314 16327075339 67136618999
222 221 1317 16336822545 67270895941
223 222 1318 16336922418 67327421236
224 223 1320 16386692691 67528367939
225 224 1325 16423363652 67853478109
226 225 1328 16534863712 67932740893
227 226 1335 16562715826 67934646179
228 227 1336 16589963947 68199493272
229 228 1341 16689866602 68456248697
230 229 1342 16788238698 68608978979
231 230 1343 16794525473 68699409666
232 231 1346 16794525473 68827351661
233 231 1348 16853750980 69043370284
234 232 1357 16963585229 69429043302
235 233 1359 17101959874 69614940258
236 234 1359 17124211617 69700609688
237 235 1361 17197270452 69844982697
238 236 1363 17230395797 70048496902
239 237 1365 17333344328 70048496902
240 238 1366 17384905050 70303277256
241 239 1372 17589438245 70670165573
242 240 1374 17672336114 70809162278
243 241 1376 17675178937 70888056818
244 242 1389 17809466742 71194404809
245 243 1389 17810877150 71428964967
246 244 1391 17855681095 71502105360
247 245 1396 17939668152 71757036587
248 246 1397 18028146238 71918341935
249 247 1398 18043024177 72029030124
250 248 1407 18045526468 72218006214
251 249 1412 18055682905 72276965516
252 250 1415 18228384189 72335603238
253 251 1424 18393510548 72728234528
254 252 1427 18408229101 72965954104
255 253 1430 18733605913 73051234850
256 254 1433 18796069342 73220374048
257 255 1444 18940835987 73443940519
258 256 1451 19039259323 73895305032
259 257 1453 19039263495 73903643529
260 258 1456 19279228100 74345758255
261 259 1457 19469089123 74346479379
262 260 1462 19516012087 74469897081
263 261 1464 19524749768 74631105093
264 262 1467 19534713139 74924545258
265 263 1468 19570012166 75039011426
266 264 1475 19651243901 75436582844
267 265 1477 19678293777 75447437357
268 266 1479 19763766313 75530979146
269 267 1482 19825582014 75613664379
270 268 1485 19972810817 76005266126
271 269 1487 20018798054 76271682120
272 270 1488 20074224071 76578131264
273 271 1491 20119995321 76668097635
274 272 1497 20312540363 76685441475
275 273 1500 20414963614 77168779550
276 274 1501 20464702114 77169623676
277 275 1502 20477989364 77337469618
278 276 1503 20530118224 77427129016
279 277 1507 20624430350 77498135546
280 278 1513 20713323668 77678993993
281 279 1516 20784918434 77839791114
282 279 1518 20836821682 78053925937
283 280 1523 20841495278 78468783779
284 281 1526 20894559668 78516243052
285 282 1528 20949608521 78533674819
286 283 1529 20958463813 78581743091
287 284 1530 20961104446 78686215710
