picks choicecount closurecount choicesize closuresize
827 794 2730 59485480251 156087674855
828 795 2730 59493748597 156087674855
829 795 2732 59552453532 156089783532
830 796 2732 59620867648 156093208419
831 797 2734 59798498823 156122100181
832 798 2736 59804123214 156144206904
833 799 2738 59819777538 156351223034
834 800 2740 60015386438 156789448695
835 801 2742 60156096941 156790537476
836 802 2747 60331736344 156867455023
837 803 2749 60339484112 156932740798
838 804 2750 60558480310 156932740798
839 805 2751 60674422063 156971156820
840 805 2752 60687084903 156971156820
841 806 2755 60687161258 157116871721
842 807 2756 60734011765 157127943715
843 808 2756 60742450265 157297282817
844 809 2756 60755341777 157335881754
845 810 2759 60824744235 157353819592
846 811 2763 60956445366 157706110401
847 812 2764 61038424537 157734745558
848 813 2764 61120537206 157901008606
849 813 2765 61236709270 157963373022
850 814 2767 61398392992 157964185245
851 815 2772 61427557187 157980904521
852 816 2773 61439848805 158030354325
853 817 2773 61496613667 158204100575
854 818 2774 61496922659 158237449636
855 819 2781 61532455553 158246595780
856 819 2782 61544498668 158569087827
857 820 2783 61664809350 158596748651
858 821 2784 61713383785 158671295242
859 822 2784 61770718872 158727749982
860 823 2785 61779257428 158835344675
861 824 2786 61813050924 158859737957
862 825 2787 61813071392 158880147253
863 826 2789 61973846579 159011754542
864 827 2790 61973879558 159041180747
865 828 2792 62114473772 159137407547
866 829 2794 62136176035 159217517274
867 830 2795 62137107703 159277616849
868 831 2796 62153387893 159345691249
869 832 2797 62229163477 159626058578
870 833 2800 62317728283 159655673720
871 833 2801 62357551536 159697626963
872 834 2803 62361222312 159697770309
873 835 2804 62445239392 159759644368
874 836 2805 62579717579 159777651485
875 837 2808 62621126307 159797136930
876 838 2809 62687352530 159977127623
877 839 2810 62877083648 160061879219
878 840 2812 62961969018 160379219217
879 841 2814 62963016146 160395725396
880 842 2815 62963993187 160395725396
881 843 2816 63077799106 160544199681
882 844 2817 63078686676 160548309064
883 845 2819 63111374156 160553549642
884 845 2819 63165400120 160555584611
885 846 2821 63171098251 161035387011
886 847 2827 63171161052 161261841413
887 848 2827 63298215644 161364462257
888 849 2834 63380293939 161627755911
889 850 2835 63427476810 161896199819
890 851 2837 63501714077 161937173788
891 852 2838 63595459382 162356208004
892 853 2841 63597131305 162424023875
893 854 2842 63602778758 162474754628
894 855 2844 63611479644 162494533902
895 856 2845 63634235291 162533503254
896 856 2849 63635122058 162533555181
897 857 2849 63744785095 162751656611
898 858 2850 63762181844 162751802896
899 859 2854 63769222161 163050028730
900 860 2855 63929305425 163067084445
901 861 2856 64015814542 163082238766
902 862 2858 64029394989 163113485482
903 863 2861 64300734519 163156392267
904 864 2862 64430353727 163522543222
905 865 2866 64514906691 163782045970
906 866 2867 64518246212 163841583972
907 867 2868 64532659603 164000843441
908 868 2868 64659925884 164186156438
909 869 2870 64666078570 164198515682
910 870 2871 64855857718 164790561965
911 871 2872 64914696061 165162039894
912 872 2875 64927784956 165204049567
913 873 2875 65037775978 165538930280
914 873 2876 65071872243 165627855937
915 874 2877 65126010819 165628243014
916 875 2877 65193721702 165638708738
917 876 2878 65253653913 165750215691
918 877 2879 65412783696 165764327413
919 878 2880 65591821714 165801481620
920 879 2883 65758742160 165801481620
921 880 2884 65764747006 165844892340
922 881 2885 65777753584 165926701040
923 882 2887 65778137298 166168561692
924 883 2890 65941415306 166174503083
925 884 2893 65953540264 166193108587
926 885 2893 65975467346 166352068158
927 886 2894 66018349752 166544640642
928 886 2899 66070489392 166786616509
929 887 2900 66184178916 166840592905
930 888 2901 66575002043 167071444705
931 889 2904 66577957288 167105585266
932 890 2905 66621533956 167375466031
933 891 2916 66647695910 167375466031
934 892 2916 66648144278 167421361519
935 892 2917 66659458587 167429873999
936 893 2922 66915723183 167488703385
937 894 2925 66979080255 167558109804
938 895 2926 66981064007 167683664164
939 896 2927 67070882281 168229515762
940 896 2928 67081866186 168230176880
941 897 2929 67177678330 168292635416
942 898 2930 67184466892 168306484392
943 899 2931 67238011096 168362009761
944 900 2931 67246275684 168612368498
945 901 2932 67247698700 168673438075
946 902 2933 67253306646 168684338492
947 903 2934 67319933051 168992609772
948 904 2934 67363611177 169251625737
949 905 2935 67533407745 169592830959
950 906 2936 67533583857 170116181397
951 907 2937 67644422964 170148045314
952 908 2938 67727648594 170357324738
953 908 2940 67772909115 170420004547
954 909 2941 67837224358 170420004547
955 910 2946 68026709084 170429686072
956 911 2952 68073209734 170431067562
957 912 2952 68116769269 170431067562
958 913 2955 68349881492 170549484665
959 914 2955 68350054638 170776946826
960 915 2956 68666380474 170825327397
961 916 2957 68807390541 170832133302
962 917 2958 68873747533 170932681852
963 918 2958 68873781458 171039942060
964 919 2959 69026307819 171039942060
965 920 2961 69034845817 171224472893
966 921 2962 69178527176 171224472893
967 922 2963 69332344314 171224481510
968 923 2964 69363563732 171517683161
969 923 2964 69419989580 171533736515
970 924 2967 69426161049 171533742700
971 925 2968 69651175125 171536609719
972 926 2969 69652792933 171552357326
973 927 2970 69655993923 171595079634
974 928 2971 69662054687 171619295012
975 929 2973 69665533517 171628633133
976 930 2974 69676613884 171776149909
977 930 2975 69701985362 171778065627
978 931 2979 69790486289 171778928945
979 932 2981 69869137713 171886303677
980 933 2981 69874588687 171904825949
981 934 2990 69905931890 172242784432
982 935 2991 69933047988 172245914255
983 936 2991 69997703896 172348962686
984 937 2993 70374108337 172478246390
985 938 2993 70417479782 172614173136
986 939 2995 70418175236 172748761550
987 940 2995 70451623474 172751189588
988 941 2995 70634114393 172836536416
989 942 2997 70640955668 172925169740
990 942 2998 70644711374 173113085417
991 943 3003 70775112764 173312808901
992 944 3007 70775545483 173396879018
993 945 3010 70934661591 173425974152
994 946 3011 71014130891 173648440898
995 947 3015 71027775032 174100796095
996 948 3016 71034366789 174355889071
997 949 3017 71036609552 174390496756
998 950 3017 71120338013 174398361577
999 951 3017 71120886770 174620635807
