alpha overhead container_efficiency cache_efficiency images imagesizes pkgs realsize reqsize size upkgs usize byteswritten deletes inserts merges hits hitrate peaksize reqwritten
0.0 0 1.0 0.185806755442 61 24284738967 28124 24267940719 24267940719 1406904537781 4365 260815543389 102027421223052 4407 4469 0 531 0.1062 1449464335021 114173871775790
0.05 0 1.0 0.187349346574 62 23327085536 28310 23206327182 23206327182 1406524011374 4375 263291338188 100550090903292 4387 4448 0 552 0.1104 1448202582236 112794275302310
0.1 0 1.0 0.183062984013 64 21878273209 28243 22007600852 22007600852 1406050306096 4353 257209685484 97360563684781 4363 4425 2 573 0.1146 1445213848563 109941129668880
0.15 0 1.0 0.186572037971 62 24789324137 28312 24731845336 24731845336 1406717590966 4362 262166101219 100122445000415 4384 4443 0 557 0.1114 1444431281484 112956635956840
0.2 0 1.0 0.186040054551 64 23878695377 28347 24031310812 24031310812 1405739774360 4388 261126705339 98095880583822 4372 4429 0 571 0.1142 1443805567187 111079039961840
0.25 0 1.0 0.186347619332 62 23083210665 28567 23132795519 23132795519 1406919834851 4389 261699135127 100242402702166 4373 4430 1 569 0.1138 1450046097794 113015996102220
0.3 0 1.0 0.18435252692 63 23585611009 28086 23603181604 23603181604 1406119235608 4352 258796709155 99364362462537 4371 4434 0 566 0.1132 1445570253173 112147089371490
0.35 0 1.0 0.186972908557 62 24114757550 28321 24330094870 24330094870 1407081872031 4383 262769348893 101113909991843 4394 4455 0 545 0.109 1447926708164 113499624158390
0.4 0 1.0 0.185801581349 63 23145335885 28156 23286064737 23286064737 1406137065459 4332 260995960457 98904148241028 4389 4450 2 548 0.1096 1444522088050 111239461547750
0.45 0 1.0 0.18459589411 63 23588471774 28494 23326189876 23326189876 1406546772558 4396 259174632405 99320801222775 4368 4431 10 559 0.1118 1443370412931 111817412955530
0.5 0 1.0 0.186856441118 61 24904107262 28383 24942500544 24942500544 1406735753840 4398 262593182152 101983877337824 4336 4398 33 569 0.1138 1448760413669 114428066719090
0.55 0 1.0 0.192244221568 60 24294501970 28010 24604620110 24181201153 1405512857616 4458 269629977739 104327066943376 4093 4152 272 576 0.1152 1449869939447 114449267375340
0.6 0 1.0 0.210073264933 52 24587824805 27221 26303551293 23597615962 1398318203053 4814 292928720751 117786422873289 2965 3017 1313 670 0.134 1447073583547 112735633679470
0.65 7630013061 0.738632966781 0.237037830033 43 25424078285 26384 29829320630 22279763506 1389605663613 5188 327574495946 136996541566571 1822 1874 2392 734 0.1468 1435831885999 109514031511210
0.7 14684739421 0.612475206958 0.259894093241 33 44035369453 26080 40361652531 23656657657 1375746683676 5546 356517652053 161483474638466 1130 1161 3079 760 0.152 1426385479212 112442587810940
0.75 20488856387 0.535865780042 0.275927441581 26 65180937839 25459 46935575201 23447041397 1368195620634 5720 376999240025 173671334854273 710 736 3434 830 0.166 1426715457115 110424716200840
0.8 29857793041 0.463213335327 0.285900735685 21 77510589304 26020 56950776521 24418758063 1362537395556 6023 388614274789 189797405600890 542 564 3474 962 0.1924 1421741798023 113806793284620
0.85 38060393878 0.401212875971 0.300613971985 18 88662824599 25238 65154469255 23111675964 1355639514604 6166 407065570282 202883882139046 429 445 3474 1081 0.2162 1420991868281 110267363269470
0.9 52345238750 0.336995153918 0.316237934644 15 102329634881 25265 78921158460 23953145017 1349653798734 6421 426078794004 222118201556942 343 355 3367 1278 0.2556 1419804515963 111735693276550
0.95 89141510288 0.232755759046 0.348572004868 11 135302441001 24006 114570662876 24193156199 1328716004838 6847 463571138878 269057988545731 204 215 3080 1705 0.341 1420708325875 112230667650710
1.0 604992869129 0.0389860696207 1.0 1 634477733218 8802 634477733218 23887838924 634477733218 8802 634477733218 218221129783431 0 1 468 4531 0.9062 634729029646 115233653036220
