alpha overhead container_efficiency cache_efficiency images imagesizes pkgs realsize reqsize size upkgs usize byteswritten deletes inserts merges hits hitrate peaksize reqwritten
0.0 0 1.0 0.18369628025 61 23574193809 28561 23666044641 23666044641 1406452513891 4368 256644699618 11400075956761 442 500 0 0 0.0 1440552640016 11400075956761
0.05 0 1.0 0.181060653497 63 23399824871 28336 23338753306 23338753306 1406536987311 4334 250531797453 11031156068168 439 500 0 0 0.0 1439953088310 11031156068168
0.1 0 1.0 0.182247886436 60 24448119598 28275 24200418779 24200418779 1407524054893 4369 253949439030 11547812930783 445 500 0 0 0.0 1438626560422 11547812930783
0.15 0 1.0 0.183517564897 65 22135584271 28412 22210566823 22210566823 1405903849725 4354 256617688932 10838774777974 433 500 0 0 0.0 1439079469339 10838774777974
0.2 0 1.0 0.182943456286 64 23202681336 28435 23492360974 23492360974 1406614557145 4356 252364446273 10983445547644 436 500 0 0 0.0 1441241221186 10983445547644
0.25 0 1.0 0.183307571649 62 23340454335 28242 23626598747 23626598747 1406684453414 4346 255592160621 11218841886418 435 500 0 0 0.0 1442878604286 11218841886418
0.3 0 1.0 0.181296837384 60 25016044112 28379 25267025795 25267025795 1409156692947 4383 252602442009 11705901824903 439 500 0 0 0.0 1437839790789 11705901824903
0.35 0 1.0 0.181883207139 64 22812610560 28445 22988184597 22988184597 1406605691954 4339 253417631334 10901913605339 438 499 1 0 0.0 1436740454877 10901743691922
0.4 0 1.0 0.181382050624 61 23482614249 28445 23662316087 23662316087 1404804421775 4377 251997807847 11400421822920 440 500 0 0 0.0 1442846496241 11400421822920
0.45 0 1.0 0.183848698752 63 23689428585 28211 24049085357 24049085357 1406946012719 4345 256569050155 11366380503372 439 499 1 0 0.0 1444726276150 11363722165372
0.5 0 1.0 0.183615251394 62 23069052818 28335 22798409349 22798409349 1407154049079 4387 253611867729 11185637160886 432 495 5 0 0.0 1451842409352 11158829330919
0.55 0 1.0 0.186101636505 57 24655457652 28222 24956126917 24297599084 1404759391392 4462 257890337134 11990569853806 404 460 40 0 0.0 1444810525834 11558048842184
0.6 0 1.0 0.207522819798 52 23376148321 27126 25542377189 23264971378 1395618333781 4791 285337397522 13814933047180 287 338 162 0 0.0 1438079004155 11230162814660
0.65 6797683702 0.750335517309 0.240059012284 41 25739613751 26584 30511078735 23976552701 1380861537460 5242 327422801780 16860262986339 168 209 291 0 0.0 1428414277319 11300267409390
0.7 13025531836 0.625074639246 0.259273393298 31 48214731953 25818 36706853416 22378082830 1368207079228 5547 349578448748 19228930079937 93 124 376 0 0.0 1423695297979 11036534775631
0.75 18500364942 0.574496325145 0.278881442288 24 66517224914 25901 44552955641 24476785188 1350564760641 5783 372687580235 22344130605080 61 91 409 0 0.0 1414387690353 11437061822826
0.8 26169087911 0.484898641538 0.297712865651 18 83985421242 25429 51711528051 24388976167 1345297059977 6062 398879708892 25678018043853 47 66 434 0 0.0 1414528198688 11660821528508
0.85 30175325870 0.443542409733 0.297655664719 16 90244643811 25463 56951463249 23327374290 1336691262054 6191 393436924042 27152826208803 36 55 445 0 0.0 1417698812925 11209856131675
0.9 44780885952 0.360886482398 0.335992756405 13 108834850427 24516 71046779521 23610604138 1310870079709 6511 436673810087 34065338329584 23 36 464 0 0.0 1418006230830 11278029430771
0.95 85960687563 0.24236273462 0.372772464087 10 157300879032 22786 109859918694 23882753238 1255434264106 7000 466925970677 51252487873565 13 23 477 0 0.0 1406439636787 11549236747375
1.0 480084602638 0.0517798081589 1.0 2 293782756727 7385 499628646763 23380665828 499772408047 7385 499772408047 209446702070175 0 2 462 36 0.072 624491173295 11321010950806
