alpha overhead container_efficiency cache_efficiency images imagesizes pkgs realsize reqsize size upkgs usize byteswritten deletes inserts merges hits hitrate peaksize reqwritten
0.0 0 1.0 0.186975917703 61 23483982616 27369 23475023936 23475023936 1388026727866 4357 259182383306 5792118279423 190 251 0 249 0.498 1437880217554 11391490812440
0.05 0 1.0 0.192273735558 61 23560522358 27511 24013106862 24013106862 1392819578252 4347 265179174187 6094590446569 202 264 0 236 0.472 1441080123553 11473931444295
0.1 0 1.0 0.183183637799 64 22444426262 27971 22021073866 22021073866 1390512795694 4376 249274635506 5022065591006 175 238 0 262 0.524 1441657291712 10563942309210
0.15 0 1.0 0.193652609056 63 22519321165 26959 22454649122 22454649122 1390810940462 4283 263778299249 5800008548278 200 268 0 232 0.464 1438778948390 10858958035720
0.2 0 1.0 0.180766954255 63 23224287850 27317 23329881621 23329881621 1391571122655 4238 250094161162 5734903969005 196 258 0 242 0.484 1438563557265 11113964172600
0.25 0 1.0 0.186325909814 59 23717855041 26965 24148957679 24148957679 1391375250222 4295 258167926853 6259245019961 207 267 0 233 0.466 1443881925558 11626500506235
0.3 0 1.0 0.18219122264 61 24713938584 27895 23570862315 23570862315 1391091337961 4444 252873396691 5754303608032 189 250 0 250 0.5 1436730023101 11231691176245
0.35 0 1.0 0.184323137809 63 23682573775 27346 23700926177 23700926177 1390860056259 4345 254363941045 5420304148160 182 249 0 251 0.502 1436654308728 10831088978220
0.4 0 1.0 0.190772077743 65 21178022524 27597 22537967987 22537967987 1387938883140 4401 262751321138 4751119379113 161 223 0 277 0.554 1442369052786 10616605130155
0.45 0 1.0 0.187440749806 60 23310361383 27914 22608955161 22608955161 1394538261371 4372 258232256173 6385730134026 217 278 0 222 0.444 1438549949026 11441157261315
0.5 0 1.0 0.19298521317 57 26616841690 27832 26406407522 26150617369 1390890675218 4311 265922077599 5814578141368 179 236 7 257 0.514 1440277285226 11981192411275
0.55 0 1.0 0.192988970857 54 26404337598 26927 27887555741 25854998598 1392069366330 4498 267127468855 7124978248983 208 262 19 219 0.438 1437586181495 12302518290475
0.6 0 1.0 0.210729726297 49 22490225165 26615 27285751393 21722956823 1387304344291 4634 288294567593 5866249537237 127 174 54 272 0.544 1438139472968 11714962648810
0.65 9524284154 0.657065842919 0.231371454131 51 20168738206 26075 31998349649 22142323636 1362703288585 5005 310619280053 3608647295869 27 79 62 359 0.718 1419000066900 10317708872895
0.7 26218907914 0.48588271727 0.249647153097 36 31515813222 24819 51546425908 23985597225 1299128093270 5160 324323629993 4178363928234 0 37 78 385 0.77 1381735047821 11400511720830
0.75 34495579342 0.437513562769 0.26972523668 26 53204153086 22881 58421980666 24789464561 1209636295967 5265 326269436226 4788745713991 0 28 102 370 0.74 1305229933393 11629328595765
0.8 35654557686 0.398379118396 0.29543866681 21 55132996129 20046 60420579471 20539260163 1083344426035 5081 319242075534 4999833594619 0 24 108 368 0.736 1164559713423 10686914909810
0.85 50143625930 0.340995466718 0.326466012213 18 66667150337 19030 76987341170 22363178807 985482609633 5258 321726577672 5428962193268 0 20 108 372 0.744 1032526165865 10850651740260
0.9 71383738262 0.277847621361 0.371527460901 13 99731700479 17046 101188965089 23432765524 900714595313 5389 334640206593 6183741595080 0 13 103 384 0.768 916416634111 11381553250300
0.95 108350287726 0.206907898169 0.46985029625 8 100833213650 13661 133824457778 25450117452 729204659581 5420 342555622363 8188506694604 0 8 98 394 0.788 761265782438 11859227736885
1.0 298450960282 0.0746078183192 1.0 1 327335832163 5294 327335832163 21959362936 327335832163 5294 327335832163 21892203950747 0 1 97 402 0.804 328793085233 10833838507905
