alpha overhead container_efficiency cache_efficiency images imagesizes pkgs realsize reqsize size upkgs usize byteswritten deletes inserts merges hits hitrate peaksize reqwritten
0.0 0 1.0 0.118997531234 158 23015481276 70496 23028810075 23028810075 3499832558534 6273 414412459552 41358495173045 1717 1878 0 622 0.2488 3551119701183 55155901773840
0.05 0 1.0 0.118262909001 152 23917804872 70213 23574574511 23574574511 3500710745072 6272 412374131121 42877687617026 1715 1867 0 633 0.2532 3543208934435 57066178499475
0.1 0 1.0 0.119798965193 152 24348969104 70407 24149384164 24149384164 3501072677773 6302 416369160341 43622344058262 1744 1901 0 599 0.2396 3545026172919 57382095918750
0.15 0 1.0 0.11786011169 158 23477947393 70589 23340956226 23340956226 3499853156995 6273 409816810838 41310109037593 1701 1869 0 631 0.2524 3541962715351 55263625928910
0.2 0 1.0 0.11647858995 156 22902551217 70449 22883489209 22883489209 3499864058201 6261 406536327453 41533149762367 1699 1865 0 635 0.254 3539554824858 55598865871715
0.25 0 1.0 0.118229144741 152 24330880372 70354 24313267775 24313267775 3500402113109 6280 412739630996 42818560427312 1714 1864 0 636 0.2544 3545488477106 57415469412145
0.3 0 1.0 0.118175128722 158 23443446108 70551 23469739648 23469739648 3499097408845 6260 412523070549 40327931110630 1656 1812 2 686 0.2744 3540422458229 55643978689485
0.35 0 1.0 0.118394920204 151 24401745222 70363 24495671503 24495671503 3500706473371 6309 413268798788 43868987718228 1762 1906 4 590 0.236 3543958646904 57388013583295
0.4 0 1.0 0.11843691439 157 23345467106 70221 23486448085 23486448085 3499147509683 6260 412845401129 40747258727570 1677 1832 3 665 0.266 3545868277927 55635124096870
0.45 0 1.0 0.118523041022 150 24778729039 70430 24778729039 24716840472 3501100177055 6317 413004428603 44328638040815 1756 1911 3 586 0.2344 3547964969259 58177316879895
0.5 0 1.0 0.119039013103 156 23923503944 70178 23834305969 23774767272 3499442473208 6262 415610178554 41488797843827 1650 1806 40 654 0.2616 3549255543001 55665193103005
0.55 0 1.0 0.122299776504 147 24658745629 69550 24960044040 24039249492 3497682258199 6445 426296221862 42092844250230 1485 1629 167 704 0.2816 3542157743867 56305509722215
0.6 0 1.0 0.136237068899 118 25138889446 66650 28171696069 24076894117 3491064863465 6949 474344925938 48801917305835 957 1069 637 794 0.3176 3542985452008 57988732697305
0.65 13349851559 0.637703236165 0.148062536124 86 38135401578 65385 38494679380 24270884850 3478203942248 7438 512401291287 58882839408355 496 584 1108 808 0.3232 3532883211147 58306746307930
0.7 21693854694 0.533670142059 0.154621497946 69 61628694723 64256 49821010436 24231543393 3465971879026 7699 532183290288 60732929279999 286 356 1251 893 0.3572 3529611117988 57033032995325
0.75 29625251421 0.480146036171 0.1581148801 56 70742053308 64645 57746368423 24486902423 3457722406839 7859 543234621208 62854525473178 195 252 1297 951 0.3804 3519365604741 57662143250280
0.8 38104602177 0.424904884902 0.161940415678 51 78483326203 65077 66008869211 24533117204 3453483477503 7973 555079454052 57702170065554 143 195 1209 1096 0.4384 3520846170457 57071359793865
0.85 48234771625 0.369161565813 0.167039661644 42 88837074981 64814 76119462567 24320889838 3445254987474 8171 570280731967 60604159722429 98 140 1164 1196 0.4784 3517722687755 58112984071815
0.9 70205722133 0.284580180621 0.173394822159 37 103222476364 64517 94741643105 23354103363 3431796718671 8400 594071700948 50498428952648 61 98 886 1516 0.6064 3514058558381 56647825985065
0.95 94232812166 0.188994962085 0.184703278946 28 116463924585 62206 117322008948 24289002370 3365630503687 8754 621357807147 45557592264702 5 35 567 1898 0.7592 3505864184155 58059650154335
1.0 577676442323 0.0399540196679 1.0 1 606011300292 8640 606011300292 22774494691 606011300292 8640 606011300292 205628921436747 0 1 458 2041 0.8164 610622774734 54839362449180
