alpha overhead container_efficiency cache_efficiency images imagesizes pkgs realsize reqsize size upkgs usize byteswritten deletes inserts merges hits hitrate peaksize reqwritten
0.0 0 1.0 0.0787908014689 308 23342330930 140635 23505466332 23505466332 6990442887566 7830 548237503105 27035795691291 883 1194 0 1306 0.5224 7042180245780 56974437540925
0.05 0 1.0 0.0785910209934 305 23911721293 141321 23857461548 23857461548 6991807693137 7817 545781137705 28983035287585 961 1270 0 1230 0.492 7042361160243 57066301863335
0.1 0 1.0 0.0787479282466 301 24326593656 140570 24373938465 24373938465 6991121502036 7841 547527791704 29983208936762 1000 1293 0 1207 0.4828 7051715290899 58318158880875
0.15 0 1.0 0.0791731730507 296 24301389884 139981 24139338667 24139338667 6991494707542 7845 550419327563 30413364452922 999 1295 0 1205 0.482 7046970444647 58742612197285
0.2 0 1.0 0.0793801009361 301 24123311549 140862 24127934895 24127934895 6991616533403 7832 551910153981 29372149082598 971 1273 4 1223 0.4892 7039262410426 57637773452590
0.25 0 1.0 0.0779112317301 306 23982924565 141520 23870556018 23870556018 6991155156033 7822 542838385158 29195443234708 985 1297 0 1203 0.4812 7045009878787 56640572936915
0.3 0 1.0 0.0794499811167 307 23242255822 139341 23426103362 23426103362 6991733941430 7826 553701214560 29105465951944 961 1267 0 1233 0.4932 7042570039168 57071247666895
0.35 0 1.0 0.0789159795189 300 23835062197 141207 23651980491 23651980491 6991073097300 7841 547114873984 28989206840306 961 1260 0 1240 0.496 7042248769467 57939782303510
0.4 0 1.0 0.0796645029872 301 24016539859 140723 24521297749 24521297749 6991105403541 7844 554497770236 29398140203588 949 1238 3 1259 0.5036 7042443175818 58326881708970
0.45 0 1.0 0.0790506205832 306 23643419204 140434 23558200926 23558200926 6991112933168 7815 548600232182 29683931195775 987 1294 0 1206 0.4824 7041861369822 56632780381885
0.5 0 1.0 0.0792837078328 302 24069480361 139039 24069480361 23897601078 6990143803711 7860 552076253747 27710937352867 885 1187 30 1283 0.5132 7043369011727 56221179929970
0.55 0 1.0 0.0818935395996 285 25307675895 138659 26647892276 24579006104 6987558549534 8085 568022897799 26230352581508 677 960 140 1400 0.56 7044669160610 56704380984755
0.6 8206992395 0.718797867668 0.0863126266216 219 28218106293 132710 33971096671 24334893078 6982275447970 8459 600638316703 24371786297500 309 534 335 1631 0.6524 7037172859626 58250452289965
0.65 18082694063 0.561813179499 0.0876057484349 181 35616729425 128898 42522961307 23396699266 6947308424926 8592 608019102613 23114498438901 89 274 487 1739 0.6956 7024731361247 55545613858700
0.7 27579626013 0.483704986362 0.0962332407904 139 55314166797 119680 55305462039 23390755989 6407738503591 8682 616637442338 24889527603568 16 170 609 1721 0.6884 7010474755952 56011536675970
0.75 36533937070 0.42747554159 0.107614132417 111 67383704601 108564 67413250580 23990656906 5822347449938 8715 626566869454 26904825354854 0 131 626 1743 0.6972 6421693110065 56164346109980
0.8 41424869737 0.386220362959 0.116211385781 89 71126534798 98135 69139528084 23192840401 5264728100759 8591 611821348350 26832718798228 0 106 635 1759 0.7036 5794464648017 54862713613820
0.85 58581248758 0.324218533381 0.124452671462 65 85598148876 93809 82916868289 25122923278 5028168801348 8768 625769039892 30696409781071 0 73 630 1797 0.7188 5327622373574 58619434686775
0.9 68362899448 0.279630494423 0.145941526569 52 94249038083 79482 94249038083 22714483409 4253149874587 8713 620711185425 31291503530417 0 57 582 1861 0.7444 4470764474556 55794290109010
0.95 103633519113 0.207472230334 0.177882737057 35 111699009278 64078 129852215150 24344811202 3478316568715 8725 618732471594 40747639774733 0 35 537 1928 0.7712 3613451440905 56776268583370
1.0 581426962773 0.040004713796 1.0 1 606956392712 8587 606956392712 22790926449 606956392712 8587 606956392712 204898749973863 0 1 463 2036 0.8144 614323163144 55329924329395
