alpha overhead container_efficiency cache_efficiency images imagesizes pkgs realsize reqsize size upkgs usize byteswritten deletes inserts merges hits hitrate peaksize reqwritten
0.0 0 1.0 0.25317916822 31 23839270374 14168 24036319843 24036319843 708027212624 3234 178945082830 54406758958236 2351 2385 0 115 0.046 744487735029 57038894325445
0.05 0 1.0 0.2526569279 31 23900716601 14176 23862826172 23862826172 708916326806 3197 178608702223 54617049296533 2349 2379 0 121 0.0484 740330027757 57288919809605
0.1 0 1.0 0.252988555156 32 23420475518 14068 23498982358 23498982358 708153956151 3188 178593020390 53422733538251 2353 2384 0 116 0.0464 750245615103 55901306059080
0.15 0 1.0 0.249021399506 32 22420296790 14231 22638439616 22638439616 707551904718 3194 175985884674 52604501245799 2343 2375 0 125 0.05 744861478782 55284684234650
0.2 0 1.0 0.251891353622 33 22541368236 14104 22772412481 22772412481 707094805916 3190 177749219699 52094579949569 2354 2385 0 115 0.046 745227652255 54601156996615
0.25 0 1.0 0.251040129133 32 23428250310 14153 23608032309 23608032309 708027244948 3183 177008168573 52895190552165 2345 2377 0 123 0.0492 747573701779 55629926877805
0.3 0 1.0 0.252814857445 31 23519525035 14107 23551917273 23551917273 708060327045 3203 178407066650 53910279630337 2359 2390 0 110 0.044 749091016662 56269552807025
0.35 0 1.0 0.251371666665 31 23718663595 14086 23987138308 23987138308 707977456323 3196 177562137423 53569399544171 2335 2366 2 132 0.0528 746018142895 56377454439070
0.4 0 1.0 0.257215216783 31 23520617016 14186 23778772486 23778772486 707335626789 3189 181469972971 53460849361850 2336 2373 1 126 0.0504 741958156163 56328363815135
0.45 0 1.0 0.252665925366 31 24008198311 14230 24067876088 24067876088 708439656789 3211 178435364374 53913900305165 2322 2356 2 142 0.0568 743317375951 57119081592020
0.5 0 1.0 0.253919301623 31 24232304395 14072 24318597127 24268188150 708576718340 3214 179273130149 55423942819080 2351 2382 10 108 0.0432 746111338174 57895843256940
0.55 0 1.0 0.25160561652 32 22848346696 14126 22913142212 22763316889 706805057875 3210 177393304147 53357073418515 2270 2302 87 111 0.0444 747441239925 54723743446060
0.6 0 1.0 0.275878565444 28 24117009014 13811 25360293024 24412607908 702218144752 3418 193047440543 60896822279929 1858 1887 461 152 0.0608 745792237257 57150040197900
0.65 1831843043 0.86347894586 0.310827824581 23 23475460554 13301 28421178411 22856912956 693368005396 3715 214245777561 72022890202373 1162 1189 1152 159 0.0636 740169834622 54717812785665
0.7 12092993826 0.652261167955 0.356229395621 18 30787329973 12897 35777997935 23422821283 680897882769 3996 240962616965 85095040359549 726 744 1568 188 0.0752 738006375788 55236926861065
0.75 16734792842 0.569148465342 0.373753534093 14 55637888748 12948 42159072823 22954259086 671478710006 4248 249945673665 95239551257395 447 459 1852 189 0.0756 728171040442 55181641161435
0.8 25081989838 0.490580880739 0.407194795389 11 73560920622 12439 51614141829 22941558072 663687083687 4420 269971143846 107713520248100 336 346 1927 227 0.0908 722046569924 54987741826430
0.85 35701337831 0.412807652259 0.42775267524 9 87171672066 12420 61161196195 23128255167 656882625982 4596 280773637207 124076511874947 240 250 2013 237 0.0948 719800952331 56029182758825
0.9 41488307141 0.378068239537 0.440070586088 8 94322956573 12544 67759806801 22549213688 652560989792 4761 286034769983 130447117100288 198 206 2013 281 0.1124 718582206056 54578860304545
0.95 79555529379 0.246777721813 0.511027774191 6 129990092913 11416 103502301119 23681677179 632163207275 5136 323902633075 190287927753206 118 124 2017 359 0.1436 720360806593 55886133635535
1.0 588197858567 0.0393025470888 1.0 1 614799955272 8651 614799955272 22334728087 614799955272 8651 614799955272 207502264019913 0 1 458 2041 0.8164 622775275638 54917583165670
