alpha overhead container_efficiency cache_efficiency images imagesizes pkgs realsize reqsize size upkgs usize byteswritten deletes inserts merges hits hitrate peaksize reqwritten
0.0 0 1.0 0.182470318351 63 22897844201 27943 22945874611 22945874611 1406753723167 4352 256417023884 247221910546125 10936 11002 0 1498 0.11984 1444825436806 281311506320450
0.05 0 1.0 0.18490017253 63 22824857980 28263 22954575338 22954575338 1406124567945 4401 259758839851 246186496530908 10969 11034 0 1466 0.11728 1447228123934 279326840678600
0.1 0 1.0 0.186435773856 61 24282934979 27999 24302647169 24302647169 1406719477022 4359 262180507193 255514235097891 11009 11074 0 1426 0.11408 1445304467151 288642317217275
0.15 0 1.0 0.184984662027 61 24618171292 28018 24649002966 24649002966 1406919419823 4388 259996596827 257449374120887 10997 11060 8 1432 0.11456 1447093437160 290386884132050
0.2 0 1.0 0.186486937943 61 23948859855 28291 23958671559 23958671559 1406844231508 4408 262148102641 255022070958001 11001 11063 0 1437 0.11496 1445770025595 288092372670700
0.25 0 1.0 0.183265772793 64 22072281554 28137 22120987426 22120987426 1406200957889 4359 257502629203 239777311449580 10861 10918 0 1582 0.12656 1448126305733 274052952731750
0.3 0 1.0 0.184464356873 60 24139149746 28129 24239233096 24239233096 1407298804962 4368 259371325562 259194331763157 11016 11072 0 1428 0.11424 1445975315356 292844022152925
0.35 0 1.0 0.187209378756 60 24961821765 28089 25163952862 25163952862 1407327388320 4398 263314433671 263338300904492 11093 11154 3 1343 0.10744 1448399235903 295239428359500
0.4 0 1.0 0.186306557157 61 23218905861 28033 23222596277 23222596277 1407203908857 4371 261922702779 255461576567132 11061 11122 0 1378 0.11024 1444962913468 286745705215400
0.45 0 1.0 0.185920875737 60 24316516508 28196 24324855923 24320686215 1406873286693 4392 261325541091 255556859240345 10912 10972 18 1510 0.1208 1446128887535 290544693156400
0.5 0 1.0 0.186572556541 60 24735709866 28100 24823626357 24779668111 1406714097494 4404 262326859153 257299264853257 10858 10916 86 1498 0.11984 1447928082372 291677561483100
0.55 0 1.0 0.190294941858 61 23498740031 27958 23932276473 23083271259 1404413954930 4480 267172444072 256258657798512 10217 10274 687 1539 0.12312 1446658654244 281999573176150
0.6 0 1.0 0.20826967832 52 23843246262 27378 25854845827 23541641612 1398451889951 4792 290838449948 295290066605526 7622 7668 3100 1732 0.13856 1448757992903 286370606612550
0.65 8597113043 0.719905639582 0.236403984471 40 28658935022 26337 32758638633 23921799629 1388352066695 5238 327380842794 355670636658508 4429 4469 6063 1968 0.15744 1439238852197 287340150674075
0.7 14601955518 0.604322616619 0.256489932305 33 46117773135 25820 38872271523 22123957460 1375056646369 5506 352092341067 382835628701837 2587 2617 7717 2166 0.17328 1430863554359 271864150103675
0.75 22794204350 0.520258619968 0.27080761522 25 66900535264 25807 50022301822 24018214007 1367939782945 5782 370029817263 438499689406938 1854 1881 8296 2323 0.18584 1424517593233 284261385084225
0.8 29352701356 0.468212462608 0.286725404733 22 77510427349 25590 56712554862 24048864369 1363063615245 5962 390468202367 466036862185596 1475 1497 8494 2509 0.20072 1429102888170 282956949002375
0.85 38316128420 0.4070944697 0.29910967285 18 89240865467 25240 65509558222 23428929313 1357082613967 6173 405389036892 495552232563652 1125 1145 8512 2843 0.22744 1423228597008 280571158652700
0.9 53890820303 0.33493550549 0.313064608289 15 106524044719 25053 80867498054 23683073438 1349558982086 6396 421904939338 555056983522983 776 792 8385 3323 0.26584 1425261929430 285942992524125
0.95 89718231520 0.224862501004 0.342727744889 11 135191215204 24424 114603964218 22923606338 1334490529030 6845 456827319109 660824053686977 415 426 7540 4534 0.36272 1421305703668 281497388095975
1.0 611848096587 0.0389641520646 1.0 1 638691300012 8856 638691300012 24268519764 638691300012 8856 638691300012 215863175064967 0 1 463 12036 0.96288 638691300012 291986550314200
