alpha overhead container_efficiency cache_efficiency images imagesizes pkgs realsize reqsize size upkgs usize byteswritten deletes inserts merges hits hitrate peaksize reqwritten
0.0 0 1.0 0.441320987431 10 22156057463 3623 22156057463 22156057463 189844528527 1575 83782374788 189844528527 0 10 0 40 0.8 189844528527 949222642635
0.05 0 1.0 0.41105937592 10 24441490682 5103 24441490682 24441490682 271932265298 2005 111780307266 271932265298 0 10 0 40 0.8 271932265298 1359661326490
0.1 0 1.0 0.407460271714 10 27110194543 5438 27110194543 27110194543 264769675667 2195 107883123989 264769675667 0 10 0 40 0.8 264769675667 1323848378335
0.15 0 1.0 0.432144498355 10 31184655733 4937 31184655733 31184655733 249260151968 2019 107716403332 249260151968 0 10 0 40 0.8 249260151968 1246300759840
0.2 0 1.0 0.439701562894 10 25972557916 4994 25972557916 25972557916 246843297678 2093 108537383779 246843297678 0 10 0 40 0.8 246843297678 1234216488390
0.25 0 1.0 0.475941458046 9 11352404393 2204 11352404393 11352404393 114667334174 1107 54574938217 150347960840 0 10 0 40 0.8 150347960840 751739804200
0.3 0 1.0 0.417761931662 10 30468299048 4971 30468299048 30468299048 266341635877 2003 111267396286 266341635877 0 10 0 40 0.8 266341635877 1331708179385
0.35 0 1.0 0.441339294936 10 22866600574 4113 22866600574 22866600574 212402750681 1848 93741680228 212402750681 0 10 0 40 0.8 212402750681 1062013753405
0.4 0 1.0 0.434351904721 10 33467673467 5133 33467673467 33467673467 270882321733 2035 117658252400 270882321733 0 10 0 40 0.8 270882321733 1354411608665
0.45 0 1.0 0.430367243023 10 25556429438 4642 25556429438 25556429438 239736217239 1970 103174614866 239736217239 0 10 0 40 0.8 239736217239 1198681086195
0.5 0 1.0 0.410493287581 10 25967410323 5293 25967410323 25967410323 252536123121 2130 103664383413 252536123121 0 10 0 40 0.8 252536123121 1262680615605
0.55 0 1.0 0.41928620167 10 23506542553 4112 23506542553 23506542553 218756241550 1721 91721473611 218756241550 0 10 0 40 0.8 218756241550 1093781207750
0.6 0 1.0 0.433505892434 9 29365716184 4623 30070549552 28609280061 250971179188 2078 108797485009 283823538268 0 9 1 40 0.8 250971179188 1330815108505
0.65 0 1.0 0.441763340483 8 29965506204 4535 30225749764 27106984639 227580624472 2091 100536776896 290848797721 0 8 2 40 0.8 227580624472 1278511360835
0.7 0 1.0 0.592111216926 6 21622497267 3255 33017243623 27448042922 168870648138 1861 99990204972 289511687385 0 7 4 39 0.78 170671282334 1104612416845
0.75 5716009679 0.812122770387 0.493519819286 7 17823618381 3090 19718707502 15537041959 139390907821 1657 68792175638 204488426597 0 7 3 40 0.8 139390907821 820784877370
0.8 24517658583 0.432834257597 0.833430226706 3 13779920375 1735 51722443694 16447141170 76056409140 1451 64927253109 335132030988 0 4 8 38 0.76 105306432485 884740526090
0.85 40774906135 0.328897966124 0.853266076893 2 55417728923 1962 55417728923 16963356285 103017885489 1655 87901667001 451629109944 0 2 9 39 0.78 111365322653 991093085650
0.9 64449364338 0.285735036096 0.991655618506 2 47416559008 1803 94030831076 24920532814 94833118016 1772 94041794301 591542708977 0 2 8 40 0.8 94833118016 1038532007205
0.95 66021965324 0.24135169964 1.0 1 92100846964 1709 92100846964 21989142293 92100846964 1709 92100846964 655729451581 0 1 9 40 0.8 92100846964 1092091068830
1.0 71955951664 0.285883637154 1.0 1 101354373344 2053 101354373344 28096271047 101354373344 2053 101354373344 646917984145 0 1 9 40 0.8 101354373344 1244666749975
