alpha overhead container_efficiency cache_efficiency images imagesizes pkgs realsize reqsize size upkgs usize byteswritten deletes inserts merges hits hitrate peaksize reqwritten
0.0 0 1.0 0.185890217554 64 23251441191 28291 23276229215 23276229215 1407538264455 4324 261332877980 104509273769486 4694 4752 0 248 0.0496 1447737395509 109887523595755
0.05 0 1.0 0.185561598288 63 23059704894 28202 22985077558 22985077558 1407629000398 4327 260770787694 105204316631170 4682 4740 0 260 0.052 1443184696619 110727190233680
0.1 0 1.0 0.187576280143 61 24293014228 28008 24244094714 24244094714 1408322670572 4355 263705713296 109510074110330 4702 4762 2 236 0.0472 1444360807799 114936769505790
0.15 0 1.0 0.188404750784 61 24014793244 28099 24036591517 24036591517 1408322415457 4338 265005150284 110326144722851 4707 4769 0 231 0.0462 1446620955726 115603166174680
0.2 0 1.0 0.188199627949 62 23459360891 28033 23334313194 23334313194 1408147186634 4342 264747037193 107983515869300 4706 4774 0 226 0.0452 1444240675367 113146417507770
0.25 0 1.0 0.188564557397 62 23921897996 28139 23790391125 23790391125 1408149970040 4343 265252289468 107331832239883 4662 4722 3 275 0.055 1450342560451 113424340990210
0.3 0 1.0 0.187882789785 62 23569147143 28219 23590299703 23590299703 1407631981057 4358 264118206265 107292396134380 4690 4750 1 249 0.0498 1448439819663 112951257462210
0.35 0 1.0 0.187088832935 62 24203207549 28074 24135071312 24135071312 1407952351533 4330 262954111344 108739802108378 4694 4761 2 237 0.0474 1446181718812 113964924253200
0.4 0 1.0 0.185910760757 61 23765721337 28133 23751008488 23751008488 1408618770259 4353 261226005708 108825087686715 4673 4735 11 254 0.0508 1447541578413 114660085440985
0.45 0 1.0 0.187116593766 61 24350011269 28090 24412319093 24412319093 1408403411454 4353 263180689901 110257726144912 4691 4752 3 245 0.049 1444625088889 116000363364255
0.5 0 1.0 0.185960739009 63 23268302922 28019 23267512344 23265895460 1407373843470 4345 261451945152 106763633655135 4658 4720 47 233 0.0466 1450223538127 111382418043905
0.55 0 1.0 0.192966080177 59 24488153944 27764 24717137059 24212622781 1406452621633 4441 270930530280 116134611185270 4323 4377 426 197 0.0394 1448445002687 115084671882625
0.6 0 1.0 0.212320597818 53 23983486497 27162 25977303215 23441358140 1399505237326 4760 296503822891 129987494535369 3206 3252 1461 287 0.0574 1444724276575 113142708796910
0.65 7733903458 0.739591477698 0.239159248271 42 25082990207 26059 30170716137 22927064481 1389054775380 5180 330405061486 157272650985225 1941 1987 2685 328 0.0656 1443953602708 112581960779230
0.7 15059237484 0.610578812629 0.263012620642 31 49775789177 25747 41210568510 23848526598 1374943801667 5590 361315089333 188675919633704 1122 1154 3510 336 0.0672 1430805079789 114788417451465
0.75 19480414963 0.545098141378 0.273305705106 26 66113393866 25386 44730581993 22598356223 1368629698820 5755 373568126060 196738942420561 763 789 3820 391 0.0782 1423048972179 109837356704850
0.8 28980150038 0.468139385967 0.292245287823 20 82437314861 25277 55675049137 23567441451 1360957440257 6040 397138167505 231901879258725 589 608 3960 432 0.0864 1433363493326 114422315104110
0.85 36168846922 0.416373523969 0.308960633474 17 94449102275 24856 64079818717 24430810782 1355215208185 6199 418250027415 255522702860147 472 486 4034 480 0.096 1420381998622 115325423809885
0.9 52669600153 0.332772969334 0.324223090582 13 114403206406 24458 78888498234 24344509800 1342766429198 6497 434746559890 300892358253395 319 331 4062 607 0.1214 1419548803467 115914675207335
0.95 86233314406 0.227786938259 0.354627379262 10 144709586107 23283 111353543873 23222615245 1317843489419 6888 467667495628 393616976849074 191 203 4005 792 0.1584 1422382817511 111581005913100
1.0 656920612706 0.0342415219279 1.0 1 685432022804 9474 685432022804 22254266643 685432022804 9474 685432022804 409034202883820 0 1 766 4233 0.8466 686700059297 110758265025545
