alpha overhead container_efficiency cache_efficiency images imagesizes pkgs realsize reqsize size upkgs usize byteswritten deletes inserts merges hits hitrate peaksize reqwritten
0.0 0 1.0 0.183674959426 63 22940774752 28465 23022008615 23022008615 1406066289586 4389 257361678263 49495120104437 2159 2221 0 279 0.1116 1444440113386 55572921126655
0.05 0 1.0 0.187192340197 61 24542152686 28337 24422373857 24422373857 1406779861371 4397 262634315795 51836116508791 2193 2256 0 244 0.0976 1445675982017 57337441578875
0.1 0 1.0 0.184724248873 62 23628204442 28511 23840201562 23840201562 1406953765295 4391 259223923552 51154170793384 2202 2263 0 237 0.0948 1444733223037 56394353743940
0.15 0 1.0 0.184123521385 62 24203161167 28485 24240505636 24240505636 1406927983998 4396 258151149475 51572438063227 2203 2267 0 233 0.0932 1448450343747 56783262666145
0.2 0 1.0 0.182292792219 63 23241623922 28366 23215813647 23215813647 1406719137843 4369 255726532383 50018416155913 2189 2253 0 247 0.0988 1445638104155 55725955069325
0.25 0 1.0 0.18145130515 63 23051079972 28493 23005636508 23005636508 1407066501813 4356 254684580856 51045899558977 2211 2275 1 224 0.0896 1444205601703 55969327781725
0.3 0 1.0 0.185347551541 62 24145982121 28318 24081218882 24081218882 1406825453122 4384 259957989361 51109425616703 2180 2251 0 249 0.0996 1442183106449 56727517833495
0.35 0 1.0 0.186115001044 61 24505630705 28320 24398093598 24398093598 1406770432724 4362 260885269987 51960325617815 2197 2261 3 236 0.0944 1442309779781 57225388572430
0.4 0 1.0 0.18420447065 63 24011202312 27963 24115114811 24115114811 1406102957666 4360 258117906818 50430037039839 2166 2226 2 272 0.1088 1443023790603 56575944353615
0.45 0 1.0 0.184996081484 60 24229295237 28301 24527540104 24527540104 1407684247656 4400 259595646305 53449579637202 2204 2264 2 234 0.0936 1444505034185 58723169575210
0.5 0 1.0 0.185919590392 62 23922121864 28391 24037333775 23935295702 1405892379433 4394 260289499384 51075213385883 2167 2229 20 251 0.1004 1443497025430 56594090003115
0.55 0 1.0 0.189232812461 62 22455161507 28337 22685480917 22236096513 1404305766328 4469 265258439354 51269830502177 2046 2100 136 264 0.1056 1441561509091 54981777220545
0.6 0 1.0 0.210312958097 52 25309494090 27381 26646895522 24270527111 1397875585528 4788 293146529375 61448885199320 1470 1520 699 281 0.1124 1441785202475 57049032764605
0.65 8392721107 0.722522197948 0.238776614893 41 27222238486 26472 31714201964 23140809592 1386232147592 5242 329102282953 71488038257754 850 889 1259 352 0.1408 1437233816282 56235719977660
0.7 15217137817 0.595970762596 0.259853172713 31 48679968572 25887 41803318590 23649292864 1374212431972 5597 355988161158 83957095736411 528 560 1567 373 0.1492 1428552055177 56712416756860
0.75 23333569027 0.518376156353 0.278299028916 24 69840997212 25788 51243113837 24536664541 1365364423090 5877 379063373461 97223078172820 359 383 1747 370 0.148 1429479703935 58517306299175
0.8 28881715394 0.469085597393 0.28525296431 21 78927583041 25788 55201041272 22851939247 1362439046035 5992 387476632090 96766906979599 249 270 1809 421 0.1684 1429653725237 55601242203985
0.85 38834818970 0.401969288861 0.300683684153 17 90781830929 25389 65187741317 24055538488 1354949473516 6226 405666682492 106850620382148 214 230 1789 481 0.1924 1419226415188 56542200189215
0.9 53675464746 0.325182114886 0.313382227578 15 104162497409 25363 78880643259 22669852851 1344483847079 6441 421544263987 117217572219356 149 166 1744 590 0.236 1439174455200 55124258248190
0.95 89036283001 0.228105821965 0.34862722308 11 138796211865 23976 112375083999 23506437661 1324424285666 6844 460867319956 143737718754853 86 98 1614 788 0.3152 1416967328931 56313455573630
1.0 586762379474 0.0406991481291 1.0 1 617528004079 8656 617528004079 23810774813 617528004079 8656 617528004079 212381097936589 0 1 472 2027 0.8108 622630430447 55971115446580
