1 0.454849
2 0.530164
4 0.569643
8 0.656675
16 0.843853
32 1.422484
64 2.391886
128 3.819002
256 6.710867
512 12.392003
1024 19.522624
2048 29.14317
4096 42.316269
8192 52.239899
16384 59.341354
32768 64.175957
65536 66.729408
131072 68.131035
262144 68.920081
524288 69.482531
1048576 69.796952
2097152 69.982715
4194304 70.077143
8388608 70.12859
16777216 70.155576
33554432 70.16493
67108864 70.172224
134217728 70.177563
268435456 70.17912
536870912 70.180199
1073741824 70.180312
2147483648 70.180347
