1 0.460925
2 0.474651
4 0.522834
8 0.600591
16 0.736509
32 1.336812
64 2.347329
128 3.074652
256 3.902986
512 5.0236
1024 7.923378
2048 13.027119
4096 17.204126
8192 21.854748
16384 25.768344
32768 28.018192
65536 29.095142
131072 29.735465
262144 30.197555
524288 30.366477
1048576 30.457305
2097152 30.532717
4194304 30.583375
8388608 30.6188
16777216 30.641208
33554432 30.65598
67108864 30.661766
134217728 30.663607
268435456 30.664376
536870912 30.664395
1073741824 30.664408
2147483648 30.664413
