1 0.531031
2 0.57393
4 0.853517
8 1.019579
16 1.201405
32 2.427204
64 3.906316
128 6.073287
256 8.644605
512 13.817139
1024 25.052914
2048 42.730075
4096 60.782859
8192 72.88198
16384 80.848712
32768 85.713182
65536 88.603912
131072 91.094877
262144 92.122567
524288 92.984533
1048576 93.657665
2097152 94.076812
4194304 94.256348
8388608 94.345696
16777216 94.384076
33554432 94.398185
67108864 94.405503
134217728 94.408662
268435456 94.409772
536870912 94.410457
1073741824 94.410665
2147483648 94.410837
4294967296 94.410928
8589934592 94.410966
17179869184 94.410967
