0 27
1 27
2 27
3 27
4 27
5 37
6 192
7 1214
8 2282
9 2920
10 3832
11 7547
12 8079
13 14671
14 15932
15 16616
16 17211
17 17819
18 18776
19 22767
20 22952
21 23306
22 23441
23 23602
24 23604
25 23608
26 23613
27 23617
28 23619
